Processing 30 tickets with v5 prompt -> data/poc/llm_results/gpt-5.2-v5-gt-rerun
========================================================================
Already done: 0
To process:   30

[1/30] 60209095... OK
[2/30] 60209553... OK
[3/30] 60210541... OK
[4/30] 60211680... OK
[5/30] 60214613... OK
[6/30] 60218313... OK
[7/30] 60220499... OK
[8/30] 60220701... OK
[9/30] 60225231... OK
[10/30] 60226631... OK
[11/30] 60227783... OK
[12/30] 60230003... OK
[13/30] 60230438... OK
[14/30] 60231299... OK
[15/30] 60231851... OK
[16/30] 60232130... OK
[17/30] 60234621... OK
[18/30] 60237327... OK
[19/30] 60238295... OK
[20/30] 60238457... OK
[21/30] 60239883... OK
[22/30] 60240989... OK
[23/30] 60241392... OK
[24/30] 60241518... OK
[25/30] 60242814... OK
[26/30] 60247476... OK
[27/30] 60252140... OK
[28/30] 60252864... OK
[29/30] 60256173... OK
[30/30] 60258400... OK

========================================================================
Complete: 30 success, 0 failed
Total results files: 30
