ticket_id,vertical,Product,Status,Priority,isSev1,source,predicted_labels
60208754,Khoros,Khoros Marketing,closed,high,0,random,[]
60209095,GFI,Exinda Network Orchestrator,hold,high,0,seed,"[""RESPONSE_DELAYS""]"
60209192,IgniteTech,StreetSmart/FFM,closed,high,0,random,[]
60209553,GFI,App Manager,closed,urgent,0,seed,"[""IGNORING_CONTEXT"", ""RESPONSE_DELAYS"", ""PREMATURE_CLOSURE"", ""P1_SEV1_MISHANDLING""]"
60210131,IgniteTech,FogBugz,closed,normal,0,random,"[""AI_QUALITY_FAILURES"", ""RESPONSE_DELAYS""]"
60210541,GFI,Kerio Control,closed,high,0,seed,"[""AI_QUALITY_FAILURES"", ""IGNORING_CONTEXT"", ""RESPONSE_DELAYS""]"
60211226,IgniteTech,DNN,closed,high,0,random,"[""AI_QUALITY_FAILURES"", ""RESPONSE_DELAYS""]"
60211680,IgniteTech,StreetSmart/FFM,closed,high,0,seed,"[""AI_QUALITY_FAILURES"", ""AI_WALL_LOOPING"", ""RESPONSE_DELAYS""]"
60212281,Khoros,Khoros Classic Community,closed,normal,0,random,"[""AI_WALL_LOOPING"", ""PREMATURE_CLOSURE""]"
60212784,IgniteTech,TradeBeam,closed,low,0,random,"[""PREMATURE_CLOSURE""]"
60214082,GFI,MailEssentials,closed,low,0,random,[]
60214613,IgniteTech,StreetSmart/FFM,closed,urgent,0,seed,[]
60218070,IgniteTech,DNN,closed,urgent,0,random,"[""AI_WALL_LOOPING"", ""RESPONSE_DELAYS""]"
60218313,GFI,MailEssentials,closed,high,0,seed,"[""AI_WALL_LOOPING""]"
60218865,GFI,MailEssentials,closed,normal,0,random,"[""AI_QUALITY_FAILURES"", ""PREMATURE_CLOSURE""]"
60219657,Khoros,Khoros Aurora Community,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60219661,Khoros,Khoros Classic Community,closed,normal,0,random,"[""RESPONSE_DELAYS""]"
60220499,GFI,Kerio Control,closed,high,0,seed,"[""AI_QUALITY_FAILURES"", ""AI_WALL_LOOPING"", ""IGNORING_CONTEXT"", ""RESPONSE_DELAYS""]"
60220701,GFI,Exinda Network Orchestrator,closed,urgent,0,seed,"[""RESPONSE_DELAYS""]"
60221483,Khoros,Khoros Classic Community,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60222138,GFI,LanGuard,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60222765,IgniteTech,Jive Cloud,closed,urgent,0,random,[]
60222887,IgniteTech,ObjectStore,closed,normal,0,random,"[""AI_QUALITY_FAILURES"", ""PREMATURE_CLOSURE""]"
60223073,GFI,App Manager,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60223404,IgniteTech,FogBugz,closed,high,0,random,"[""AI_WALL_LOOPING"", ""IGNORING_CONTEXT""]"
60224201,GFI,LanGuard,closed,urgent,0,random,[]
60224885,GFI,Kerio Connect,closed,normal,0,random,[]
60225231,GFI,Kerio Control,closed,urgent,0,seed,"[""AI_QUALITY_FAILURES"", ""AI_WALL_LOOPING"", ""IGNORING_CONTEXT"", ""RESPONSE_DELAYS""]"
60225246,GFI,FaxMaker,closed,urgent,0,random,[]
60226631,Khoros,Khoros Care,closed,urgent,0,seed,[]
60227322,GFI,Kerio Connect,closed,normal,0,random,[]
60227783,Khoros,Khoros Care,closed,urgent,0,seed,[]
60229854,IgniteTech,DNN,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60230003,GFI,MailEssentials,closed,normal,0,seed,"[""PREMATURE_CLOSURE""]"
60230303,Khoros,Khoros Aurora Community,closed,high,0,random,"[""RESPONSE_DELAYS"", ""PREMATURE_CLOSURE""]"
60230438,GFI,MailEssentials,closed,normal,0,seed,"[""AI_QUALITY_FAILURES"", ""AI_WALL_LOOPING"", ""IGNORING_CONTEXT"", ""PREMATURE_CLOSURE""]"
60230887,Khoros,Khoros Classic Community,closed,high,0,random,"[""AI_QUALITY_FAILURES"", ""RESPONSE_DELAYS""]"
60231299,GFI,Kerio Connect,closed,normal,0,seed,"[""AI_QUALITY_FAILURES""]"
60231535,GFI,LanGuard,closed,urgent,0,random,[]
60231851,GFI,MailEssentials,closed,high,0,seed,"[""AI_QUALITY_FAILURES"", ""AI_WALL_LOOPING"", ""IGNORING_CONTEXT"", ""RESPONSE_DELAYS""]"
60232130,GFI,Exinda Network Orchestrator,closed,urgent,0,seed,"[""AI_QUALITY_FAILURES"", ""AI_WALL_LOOPING"", ""IGNORING_CONTEXT"", ""RESPONSE_DELAYS"", ""P1_SEV1_MISHANDLING""]"
60232940,IgniteTech,Gensym,closed,normal,0,random,"[""RESPONSE_DELAYS""]"
60233211,IgniteTech,StreetSmart/FFM,closed,normal,0,random,"[""AI_QUALITY_FAILURES"", ""PREMATURE_CLOSURE""]"
60233341,Khoros,Khoros Care,closed,normal,0,random,"[""PREMATURE_CLOSURE""]"
60233405,GFI,Kerio Connect,closed,low,0,random,"[""PREMATURE_CLOSURE""]"
60233855,Khoros,Khoros Classic Community,closed,normal,0,random,"[""AI_QUALITY_FAILURES"", ""PREMATURE_CLOSURE""]"
60234621,Khoros,Khoros Care,closed,urgent,0,seed,[]
60234884,IgniteTech,NorthPlains - Xinet,closed,urgent,0,random,"[""AI_QUALITY_FAILURES"", ""RESPONSE_DELAYS""]"
60235310,Khoros,Khoros Classic Community,closed,normal,0,random,[]
60236962,GFI,Kerio Control,closed,normal,0,random,"[""AI_QUALITY_FAILURES"", ""PREMATURE_CLOSURE""]"
60237213,IgniteTech,DNN,closed,normal,0,random,"[""RESPONSE_DELAYS"", ""PREMATURE_CLOSURE""]"
60237327,Khoros,Khoros Classic Community,closed,normal,0,seed,"[""PREMATURE_CLOSURE""]"
60238295,GFI,Kerio Connect,closed,normal,0,seed,"[""RESPONSE_DELAYS"", ""PREMATURE_CLOSURE""]"
60238457,Khoros,Khoros Care,closed,urgent,0,seed,"[""AI_QUALITY_FAILURES"", ""RESPONSE_DELAYS"", ""P1_SEV1_MISHANDLING""]"
60238514,IgniteTech,StreetSmart/FFM,closed,normal,0,random,"[""AI_QUALITY_FAILURES""]"
60239472,GFI,LanGuard,closed,high,0,random,[]
60239883,GFI,LanGuard,closed,high,0,seed,"[""AI_QUALITY_FAILURES"", ""PREMATURE_CLOSURE""]"
60240989,GFI,Kerio Control,closed,low,0,seed,"[""AI_QUALITY_FAILURES""]"
60241392,GFI,Kerio Control,closed,urgent,0,seed,"[""AI_QUALITY_FAILURES"", ""AI_WALL_LOOPING"", ""IGNORING_CONTEXT"", ""RESPONSE_DELAYS"", ""P1_SEV1_MISHANDLING""]"
60241518,GFI,Exinda Network Orchestrator,closed,high,0,seed,"[""RESPONSE_DELAYS""]"
60242814,GFI,FaxMaker Online,closed,normal,0,seed,"[""AI_QUALITY_FAILURES"", ""RESPONSE_DELAYS""]"
60242868,GFI,MailEssentials,closed,low,0,random,"[""AI_QUALITY_FAILURES""]"
60243234,Khoros,Khoros Care,closed,low,0,random,[]
60243347,Khoros,Khoros Classic Community,closed,low,0,random,"[""AI_QUALITY_FAILURES"", ""PREMATURE_CLOSURE""]"
60243726,GFI,FaxMaker Online,closed,high,0,random,"[""AI_QUALITY_FAILURES"", ""RESPONSE_DELAYS""]"
60243765,Khoros,Khoros Generic,closed,low,0,random,"[""AI_QUALITY_FAILURES"", ""PREMATURE_CLOSURE""]"
60246498,Khoros,Khoros Classic Community,closed,normal,0,random,[]
